GeneID,Symbol,description,reconstruction_error,is_anomaly
59342,SCPEP1,17q22,0.25097194,False
10513,APPBP2,17q23.2,0.24550796,False
7932,OR2H2,6p22.1,0.2587863,False
116835,HSPA12B,20p13,0.26032707,False
8843,HCAR3,12q24.31,0.2533044,False
406899,MIR106A,Xq26.2,0.24956661,False
64114,TMBIM1,2q35,0.25369978,False
54442,KCTD5,16p13.3,0.25220007,False
89849,ATG16L2,11q13.4,0.24935505,False
116835,HSPA12B,20p13,0.26032358,False
5992,RFX4,12q23.3,0.24519241,False
154791,FMC1,7q34,0.26040256,False
25777,SUN2,22q13.1,0.24487796,False
90850,ZNF598,16p13.3,0.25641215,False
91752,ZNF804A,2q32.1,0.3401847,False
3995,FADS3,11q12.2,0.24978887,False
9962,SLC23A2,20p13,0.24675329,False
55297,CCDC91,12p11.22,0.25585112,False
6665,SOX15,17p13.1,0.25443763,False
677847,SNORA81,3q27.3,57.57801,True
642,BLMH,17q11.2,0.24738331,False
1735,DIO3,14q32.31,0.24656339,False
51167,CYB5R4,6q14.2,0.24379578,False
9695,EDEM1,3p26.1,0.2484191,False
56125,PCDHB11,5q31.3,0.25360462,False
3440,IFNA2,9p21.3,0.25240472,False
11064,CNTRL,9q33.2,0.24906872,False
3882,KRT32,17q21.2,0.26074862,False
5047,PAEP,9q34.3,0.25714016,False
100101267,POM121C,7q11.23,0.24605629,False
55907,CMAS,12p12.1,0.25142136,False
407047,MIR9-2,5q14.3,0.27001634,False
284402,SCGB2B2,19q13.11,0.26285583,False
83857,TMTC1,12p11.22,0.25373626,False
113763,ZBED10P,7q36.1,57.57801,True
10067,SCAMP3,1q22,0.25750703,False
64137,ABCG4,11q23.3,0.24551508,False
51378,ANGPT4,20p13,0.2492809,False
7726,TRIM26,6p22.1,0.25083363,False
57703,CWC22,2q31.3,0.2513014,False
80818,ZNF436,1p36.12,0.25322556,False
23617,TSSK2,22q11.21,0.24875624,False
8846,ALKBH1,14q24.3,0.25279585,False
146779,EFCAB3,17q23.2,0.26132706,False
4100,MAGEA1,Xq28,0.2586213,False
27198,HCAR1,12q24.31,0.25642502,False
151649,PP2D1,3p24.3,0.26129156,False
11026,LILRA3,19q13.4,0.25809577,False
7165,TPD52L2,20q13.33,0.26120985,False
28511,NKIRAS2,17q21.2,0.25448346,False
57695,USP37,2q35,0.2521966,False
66002,CYP4F12,19p13.12,0.25282258,False
51421,AMOTL2,3q22.2,0.24521555,False
401265,KLHL31,6p12.1,0.25602093,False
100132916,SHISAL2B,5q12.3,0.2646449,False
1002,CDH4,20q13.33,0.35640642,False
142689,ASB12,Xq11.2,0.25425634,False
1431,CS,12q13.3,0.24753842,False
202559,KHDRBS2,6q11.1,0.48576155,True
27067,STAU2,8q21.11,0.25568235,False
51647,CIAO2B,16q22.1,0.24924845,False
6457,SH3GL3,15q25.2,0.24439213,False
2288,FKBP4,12p13.33,0.25702974,False
10109,ARPC2,2q35,0.26659885,False
117247,SLC16A10,6q21,0.24134248,False
112483,SAT2,17p13.1,0.25109294,False
8463,TEAD2,19q13.33,0.24596125,False
342979,PALM3,19p13.12,0.25393194,False
6500,SKP1,5q31.1,0.2523309,False
407004,MIR22,17p13.3,0.25987965,False
285588,EFCAB9,5q35.1,0.2710894,False
28972,SPCS1,3p21.1,0.25183222,False
1880,GPR183,13q32.3,0.24557927,False
3960,LGALS4,19q13.2,0.25139207,False
169044,COL22A1,8q24.23-q24.3,0.2728537,False
